month,data science,python
2010-02,1,26
2010-03,1,27
2010-04,1,27
2010-05,1,25
2010-06,1,26
2010-07,1,24
2010-08,1,25
2010-09,1,25
2010-10,1,27
2010-11,1,26
2010-12,1,24
2011-01,1,25
2011-02,1,27
2011-03,1,26
2011-04,1,26
2011-05,1,26
2011-06,1,26
2011-07,1,25
2011-08,1,26
2011-09,1,27
2011-10,1,27
2011-11,1,27
2011-12,1,25
2012-01,2,25
2012-02,1,28
2012-03,2,28
2012-04,1,28
2012-05,2,27
2012-06,2,25
2012-07,2,27
2012-08,2,27
2012-09,2,28
2012-10,2,30
2012-11,3,27
2012-12,2,25
2013-01,3,28
2013-02,3,30
2013-03,3,30
2013-04,6,30
2013-05,6,29
2013-06,5,28
2013-07,6,29
2013-08,6,30
2013-09,6,30
2013-10,7,33
2013-11,7,34
2013-12,7,31
2014-01,8,30
2014-02,7,34
2014-03,8,34
2014-04,10,34
2014-05,10,33
2014-06,10,31
2014-07,11,32
2014-08,14,31
2014-09,13,34
2014-10,13,36
2014-11,13,36
2014-12,13,31
2015-01,16,33
2015-02,15,37
2015-03,16,39
2015-04,18,38
2015-05,17,35
2015-06,18,38
2015-07,19,38
2015-08,19,36
2015-09,21,40
2015-10,24,41
2015-11,21,41
2015-12,20,38
2016-01,27,44
2016-02,24,48
2016-03,25,50
2016-04,27,49
2016-05,29,49
2016-06,28,50
2016-07,27,44
2016-08,27,45
2016-09,31,50
2016-10,32,54
2016-11,32,57
2016-12,33,51
2017-01,38,55
2017-02,40,63
2017-03,42,68
2017-04,42,62
2017-05,44,62
2017-06,42,62
2017-07,45,59
2017-08,47,59
2017-09,51,67
2017-10,53,69
2017-11,52,71
2017-12,46,63
2018-01,57,68
2018-02,59,73
2018-03,59,72
2018-04,60,76
2018-05,64,73
2018-06,61,70
2018-07,65,69
2018-08,65,73
2018-09,67,75
2018-10,72,86
2018-11,67,80
2018-12,64,71
2019-01,76,75
2019-02,80,84
2019-03,80,83
2019-04,77,84
2019-05,81,80
2019-06,86,83
2019-07,91,88
2019-08,91,85
2019-09,94,94
2019-10,93,96
2019-11,92,96
2019-12,81,82
2020-01,96,86
2020-02,100,100
2020-03,85,90
2020-04,86,97
2020-05,90,93
2020-06,96,93
2020-07,98,91
2020-08,96,87
2020-09,93,96
2020-10,90,83
2020-11,77,76
2020-12,76,71
2021-01,81,71
2021-02,94,89
